trial,metric,hyperparameters
0,0.25431512693122804,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00192878599273096, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [64, 64]}}"
0,0.24666463869546895,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00192878599273096, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [64, 64]}}"
0,0.23001263595943455,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00192878599273096, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [64, 64]}}"
1,0.24181413177309063,"{'gamma': 0.995, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.002553833915301458, 'batch_size': 128, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [64, 64]}}"
1,0.23751901461965597,"{'gamma': 0.995, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.002553833915301458, 'batch_size': 128, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [64, 64]}}"
1,0.23001263595943455,"{'gamma': 0.995, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.002553833915301458, 'batch_size': 128, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [64, 64]}}"
2,0.23001263595943455,"{'gamma': 0.995, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.00048166667000572734, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [400, 300]}}"
2,0.23160542602699308,"{'gamma': 0.995, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.00048166667000572734, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [400, 300]}}"
2,0.228334025366993,"{'gamma': 0.995, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.00048166667000572734, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [400, 300]}}"
3,0.23001263595943455,"{'gamma': 0.99, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.006737176143896047, 'batch_size': 128, 'buffer_size': 1000000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [64, 64]}}"
3,0.23001263595943455,"{'gamma': 0.99, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.006737176143896047, 'batch_size': 128, 'buffer_size': 1000000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [64, 64]}}"
3,0.23001263595943455,"{'gamma': 0.99, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.006737176143896047, 'batch_size': 128, 'buffer_size': 1000000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [64, 64]}}"
4,0.0,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.0014119726093567327, 'batch_size': 8, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [400, 300]}}"
4,0.20492118129677772,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.0014119726093567327, 'batch_size': 8, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [400, 300]}}"
4,0.23001334639358517,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.0014119726093567327, 'batch_size': 8, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [400, 300]}}"
5,0.14261131214042666,"{'gamma': 0.98, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00029921640181710584, 'batch_size': 128, 'buffer_size': 100000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [400, 300]}}"
5,0.16613674795478883,"{'gamma': 0.98, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00029921640181710584, 'batch_size': 128, 'buffer_size': 100000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [400, 300]}}"
5,0.2297883825971223,"{'gamma': 0.98, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00029921640181710584, 'batch_size': 128, 'buffer_size': 100000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [400, 300]}}"
6,0.23001263595943455,"{'gamma': 0.98, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.0024185267700861045, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [256, 256]}}"
6,0.23001263595943455,"{'gamma': 0.98, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.0024185267700861045, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [256, 256]}}"
6,0.23001263595943455,"{'gamma': 0.98, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.0024185267700861045, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [256, 256]}}"
