trial,metric,hyperparameters
0,0.2803729611570174,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00192878599273096, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [64, 64]}}"
0,0.31554729623613387,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00192878599273096, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [64, 64]}}"
0,0.31874256804191625,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00192878599273096, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [64, 64]}}"
1,0.314263895357104,"{'gamma': 0.995, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.002553833915301458, 'batch_size': 128, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [64, 64]}}"
1,0.24680982706256893,"{'gamma': 0.995, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.002553833915301458, 'batch_size': 128, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [64, 64]}}"
1,0.3593285956428145,"{'gamma': 0.995, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.002553833915301458, 'batch_size': 128, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [64, 64]}}"
2,0.2383830877697759,"{'gamma': 0.995, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.00048166667000572734, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [400, 300]}}"
2,0.2533126348850061,"{'gamma': 0.995, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.00048166667000572734, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [400, 300]}}"
2,0.27372208149568555,"{'gamma': 0.995, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.00048166667000572734, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (256, 'step'), 'gradient_steps': 256, 'policy_kwargs': {'net_arch': [400, 300]}}"
3,0.2958212927318773,"{'gamma': 0.99, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.006737176143896047, 'batch_size': 128, 'buffer_size': 1000000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [64, 64]}}"
3,0.16254833914803535,"{'gamma': 0.99, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.006737176143896047, 'batch_size': 128, 'buffer_size': 1000000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [64, 64]}}"
3,0.2300124259262657,"{'gamma': 0.99, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.006737176143896047, 'batch_size': 128, 'buffer_size': 1000000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [64, 64]}}"
4,0.2300124259262657,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.0014119726093567327, 'batch_size': 8, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [400, 300]}}"
4,0.2300124259262657,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.0014119726093567327, 'batch_size': 8, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [400, 300]}}"
4,0.2300124259262657,"{'gamma': 0.999, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.0014119726093567327, 'batch_size': 8, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [400, 300]}}"
5,0.20656999658959374,"{'gamma': 0.98, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00029921640181710584, 'batch_size': 128, 'buffer_size': 100000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [400, 300]}}"
5,0.23117600494514523,"{'gamma': 0.98, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00029921640181710584, 'batch_size': 128, 'buffer_size': 100000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [400, 300]}}"
5,0.28595566704328546,"{'gamma': 0.98, 'tau': 0.001, 'learning_starts': 20000, 'learning_rate': 0.00029921640181710584, 'batch_size': 128, 'buffer_size': 100000, 'train_freq': (1024, 'step'), 'gradient_steps': 1024, 'policy_kwargs': {'net_arch': [400, 300]}}"
6,0.2300124259262657,"{'gamma': 0.98, 'tau': 0.01, 'learning_starts': 20000, 'learning_rate': 0.0024185267700861045, 'batch_size': 64, 'buffer_size': 10000, 'train_freq': (64, 'step'), 'gradient_steps': 64, 'policy_kwargs': {'net_arch': [256, 256]}}"
